title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
          Jawa Barat       ,                   cartographic                ,map,Surabaya [Indonesia],CV. Indo Prima Sarana,[1999] 1999,          ind       ,map,map,"1 map : col. ; 61 x 84 cm., folded to 15 x 30 cm."
          Propinsi Jawa Barat       ,                   cartographic                ,map,Jakarta],CV. Indo Buwana,[2000] 2000,          ind       ,map,map,"1 map : col. ; 53 x 97 cm., folded to 17 x 27 cm."
          Kotamadya Bandung       ,                   cartographic                ,map,Surabaya [Indonesia],PT. Karya Pembina Swajaya,[2000?] 2000,          ind                  eng       ,map,map,"1 map : col. ; 71 x 104 cm., folded to 17 x 30 cm."
          Jawa Madura       ,                   cartographic                ,map,Jakarta,PT. Fitratama Sempana,[2000?] 2000,          ind       ,map,map,"1 map : col. ; 43 x 95 cm., folded to 17 x 32 cm."
          Propinsi Sulawesi Tengah       ,                   cartographic                ,map,Surabaya [Indonesia],PT Karya Pembina Swajaya,[2000?] 2000,          ind       ,map,map,"1 map : col. ; 97 x 72 cm., folded to 16 x 31 cm."
          Sulawesi Selatan       ,                   cartographic                ,map,Jakarta,C.V. Pradika,[2000?] 2000,          ind       ,map,map,"1 map : col. ; 92 x 59 cm., folded to 17 x 31 cm."
          Indonesia--Wawasan Nusantara       ,                   cartographic                ,map,Surabaya [Indonesia],CV. Indo Prima Sarana,2000,          ind       ,map,map,"1 map : col. ; 44 x 95 cm., folded to 17 x 31 cm."
          Propinsi Kalimantan Selatan       ,                   cartographic                ,map,Surabaya [Indonesia],PT Karya Pembina Swajaya,[2000?] 2000,          ind       ,map,map,"1 map : col. ; 92 x 66 cm., folded to 17 x 31 cm."
          The           population of Sarawak          baseline mapping of rural ethnic distribution prior to the new economic policy                  Baseline mapping of rural ethnic distribution prior to the new economic policy       ,                   cartographic                ,atlas government publication,"Kota Samarahan, Sarawak, Malaysia]","Institute of East Asian Studies, Universiti Malaysia Sarawak",[2000?] 2000,          eng       ,map,atlas,1 atlas (92 leaves) : maps ; 43 cm.
"          Obyek wisata Jawa, Bali          dilengkapi peta Kota Jakarta, Bandung, Bogor, Cirebon, Tangerang, Depot, Bekasi, Semarang, Surakarta, Magelang, Yogyakarta, Surabaya, Malang, Denpasar, Nusa Dua, Sanur, Kuta, Singaraja       ",                   cartographic                ,atlas,Jakarta?,PT Karya Pembina Swajaya?,2000?] 2000,          ind       ,map,atlas,"1 atlas (1 v. (unpaged)) : col. ill., col. maps (some folded) ; 28 cm."
          Propinsi Dati I Sumatera Utara       ,                   cartographic                ,map,Surabaya [Indonesia],CV. Indo Prima Sarana,1993,          ind       ,map,map,"1 map : col. ; 92 x 66 cm., folded to 17 x 31 cm."
"          Atlas Indonesia Baru          32 provinsi, 268 kabupaten, 73 kotamadya                  Indonesia Baru                  Karya Terbaru dari Penyusun & Penerbit Buku Pintar       ",                   cartographic                ,atlas,Jakarta,Upaya Warga Negara,2000,          ind       ,map,atlas,1 atlas (112 p.) : col. maps ; 31 cm.
          Investment map of the region of Bali       ,                   cartographic                ,atlas,Denpasar,Bali Regional Investment Coordinating Board,[1995?] 1995,          eng       ,map,atlas,"1 atlas (iii, 134 p.) : col. ill., col. maps ; 31 cm."
"          Atlas ekosistem pesisir Tanah Grogot, Kalimantan Timur       ",                   cartographic                ,atlas government publication,Jakarta,"Pusat Penelitian dan Pengembangan Oseanologi, Lembaga Ilmu Pengetahuan Indonesia",2000,          ind       ,map,atlas,"1 atlas (vi, 46 p.) : col. maps ; 30 cm."
          Peta tematik pertambangan dan energi seluruh Indonesia       ,                   cartographic                ,atlas,Jakarta,"Departemen Pertambangan dan Energi, Republik Indonesia",1997,          ind       ,map,atlas,"1 atlas (v, 76 leaves) : col. maps ; 30 x 43 cm."
"          India, age structure       ",                   cartographic                ,map government publication,Calcutta,National Atlas & Thematic Mapping Organisation,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : col. ; 29 x 25 cm., sheet 89 x 58 cm."
"          India, sex ratio       ",                   cartographic                ,map government publication Maps.,Calcutta,National Atlas & Thematic Mapping Organisation,c1999 1999,          eng       ,map,map,1 map : col. ; 58 x 49 cm.
"          India, consumption of fertilizer       ",                   cartographic                ,map government publication,Calcutta,National Atlas & Thematic Mapping Organisation,[1994] 1994,          eng       ,map,map,"4 maps on 1 sheet : col. ; 29 x 25 cm., sheet 89 x 58 cm."
"          India, tourism       ",                   cartographic                ,map government publication,Calcutta,National Atlas & Thematic Mapping Organisation,c1997 1997,          eng       ,map,map,1 map : col. ; 58 x 50 cm.
"          India, roads       ",                   cartographic                ,map government publication,Calcutta,National Atlas & Thematic Mapping Organisation,c1997 1997,          eng       ,map,map,1 map : col. ; 58 x 50 cm.
"          India, land use       ",                   cartographic                ,map government publication Maps.,Calcutta,National Atlas & Thematic Mapping Organisation,c1992 1992,          eng       ,map,map,1 map : col. ; 58 x 49 cm.
"          India, level of urbanisation       ",                   cartographic                ,map government publication,Calcutta,NATMO,c1998 1998,          eng       ,map,map,1 map : col. ; 58 x 50 cm.
"          Namibia tourist road map, 1998 / issued and distributed free of charge by the Ministry of Environment and Tourism                  Republic of Namibia       ",                   cartographic                ,map government publication,"Windhoek, Namibia",Ministry of Environment and Tourism,1998,          eng       ,map,map,1 map : col. ; 82 x 58 cm. folded to 30 x 21 cm.
"          Soldatengra?ber und Schutztruppendenkmale in Namibia                  Soldatengra?ber in Namibia, von 1884 bis 1918       ",                   cartographic                ,map Maps.,Windhoek,Kriegsgra?berfu?rsorge,c2000 2000,          mul                  afr                  eng                  ger       ,map,map,"1 map : col. ; 71 x 74 cm. folded to 19 x 14 cm., in envelope 23 x 16 cm."
          The           visitor's key to Iceland          its saga and scenery                  Key to Iceland                  Vegahandbo?kin. English       ,                   cartographic                ,atlas,Reykjavi?k],I?slenska Bo?kau?tga?fan = The Icelandic Pub. House,1999,          eng       ,map,atlas,"1 atlas (lvi, 448 p.) : col. ill., col. maps ; 24 cm."
          Atlas ba?sico de Colombia y el mundo                  Colombia y el mundo       ,                   cartographic                ,atlas,Colombia?],Bibliografica Internacional,c1998 1998,          spa       ,map,atlas,"1 atlas (xi, 105 p.) : col. ill., col. maps ; 30 cm."
          [Nepa?la jila? ma?nacitra]       ,                   cartographic                ,map government publication,Ka?t?hma?ndaum?,"Na?pi? Vibha?ga, Sthalaru?pa Na?pi? Maha?s?a?kha?",2049- [1992-] 1992 9999,          nep       ,map,map,<   > maps : col. ; 69 x 68 cm. or smaller.
          Nepa?la       ,                   cartographic                ,map government publication,Ka?t?hma?ndaum?,"Na?pi? Vibha?ga, T?opogra?phikala Na?pi? S?a?kha?",2039- [1982-] 1982 9999,          nep       ,map,map,<   > maps : col. ; 67 x 60 cm. or smaller.
          Nepa?la       ,                   cartographic                ,map government publication,Kathmandu],Sthalaru?pa Na?pi? Maha?s?a?kha?,2049 [1992 or 1993] 1992,          nep       ,map,map,1 map : col. ; 47 x 83 cm.
          Nepa?l       ,                   cartographic                ,map government publication,Kathmandu],The Branch,[1999] 1999,          eng       ,map,map,1 map : col. ; 24 x 41 cm.
"          Parao, Nyu? Ginia seibu          Nanyo? Gunto? Nihon i?nin to?chi       ",                   cartographic                ,map government publication,Tokyo?],Sanbo? Honbu Rikuchi Sokuryo?bu,Sho?wa 16 [1941] 1941,          jpn       ,map,map,1 map : col. ; 100 x 73 cm.
"          Portions of the military departments of Virginia, Washington, Middle & the Susquehanna       ",                   cartographic                ,map government publication,S.l,U.S. Army. Corps of Engineers],1863,          eng       ,electronic resource map,remote map,1 map ; 68 x 104 cm.
          Hazard's rail road & military map of the southern states       ,                   cartographic                ,map,Philadelphia,"Drawn & engraved by P.S. Duval & Son, Lithrs.","1863, c1862 1863",          eng       ,electronic resource map,remote map,col. map 77 x 129 cm.
          Australasia       ,                   cartographic                ,map,S.l.],,1818,          eng       ,electronic resource map,remote map,1 map : col. ; 49 x 68 cm.
          Map of the island of Porto Rico       ,                   cartographic                ,map,S.l.],,1915,          eng       ,electronic resource map,remote map,1 map : col. ; 71 x 160 cm.
          Isla de Puerto Rico       ,                   cartographic                ,map,S.l.],,1898? 1898,          eng       ,electronic resource map,remote map,1 map ; on sheet 69 x 186 cm.
"          Wildwood Lake Park, Riverhead, Township of Southhampton, Suffolk County, N.Y       ",                   cartographic                ,,S.l,,[1903] 1903,          eng       ,electronic resource map,remote view,1 map ; on sheet 48 x 64 cm.
          Ame?rique campagne       ,                   cartographic                ,atlas,,,1782,          fre       ,electronic resource map,remote atlas,1 atlas ([40] leaves). 34 cm.
          Robinson's aeroplane map of Sydney       ,                   cartographic                ,map,"Sydney, H.E.C. Robinson",,1922,          eng       ,electronic resource map,remote map,1 map : col. ; 73 x 52 cm.
"          Diagram of the south part of Shaker Village, Canterbury, NH       ",                   cartographic                ,map,,,,          eng       ,electronic resource map,remote map,"1 map : ms, col. ; 42 x 32 cm."
"          A           map of the United States of America, as settled by the peace of 1783       ",                   cartographic                ,map,London,,"Decr. 1, 1783 1783",          eng       ,electronic resource map,remote map,1 map : col. ; 20 x 24 cm.
"          Physical map, New York State and adjacent areas       ",                   cartographic                ,map government publication,Albany],"State of N.Y., Dept. of Commerce",c1966 1966,          eng       ,map,map,"1 map : col. ; 78 x 102 cm., folded to 22 x 28 cm."
"          Welcome to Delaware, Dover, and Kent County, with Milford and Sussex County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 52 x 48 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Delaware, Wilmington, and Elsmere, with New Castle County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 67 x 49 cm. and 57 x 32 cm., sheet 97 x 64 cm., folded to 25 x 11 cm."
"          Maps of eastern Montgomery County with Lansdale Borough, Souderton Borough, Hatfield & Telford, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 47 x 65 cm. or smaller, sheet 59 x 89 cm., folded to 23 x 10 cm."
"          Welcome to New Jersey, Salem, Elmer, and Pennsville, with Salem County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 61 x 79 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New Jersey, Salem, Elmer, and Pennsville, with Salem County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 61 x 79 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          New York City metro area counties, Long Island, New York, regional map          map : including Bloomfield NJ, Bridgeport CT, Clifton NJ, Danbury CT ... plus neighboring communities                  Rand McNally New York City metro area counties, Long Island, New York, regional map                  New York City regional map       ",                   cartographic                ,map,"Skokie, IL",Rand McNally,c1997 1997,          eng       ,map,map,"1 map : col. ; 91 x 62 cm., folded to 23 x 11 cm."
"          Official street map & guide, Hunterdon County, New Jersey                  Hunterdon County       ",                   cartographic                ,map government publication,"Flemington, N.J",Board of Chosen Freeholders,c1998 1998,          eng       ,map,map,"1 map : col. ; 112 x 89 cm., folded to 12 x 29 cm."
"          New York roadmap          including vicinity maps of Albany, Buffalo, Manhattan, New York City, Niagara, Rochester, Schenectady, Syracuse & Troy, featuring state parks table & mileage chart                  New York road map                  UniversalMAP New York roadmap                  UniversalMAP New York       ",                   cartographic                ,map,"Williamston, Mich.]",UniversalMAP,[1999?] 1999,          eng       ,map,map,"1 map : both sides, col. ; 80 x 107 cm., on sheet 101 x 70 cm., folded to 23 x 11 cm."
"          Delaware, official transportation map       ",                   cartographic                ,map government publication,Dover,"DelDoT Del. Dept. of Transportation, Division of Planning, Geographic Information Section [distributor]",c1999 1999,          eng       ,map,map,"1 map : col. ; 90 x 54 cm., folded to 24 x 10 cm."
"          Welcome to Maryland, Bowie, and Crofton       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"1 map ; 42 x 41 cm., on sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Maryland, Easton, Cambridge, St. Michaels, and Talbot County, with Caroline County and Dorchester County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"6 maps on 1 sheet : both sides ; 61 x 37 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Maryland, Hagerstown, and Washington County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 52 x 55 cm. and 51 x 71 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Flip map Pennsylvania, laminated map          easy-to-fold, write-on wipe-off, durable laminate                  Flipmap Pennsylvania, laminated map                  Pennsylvania       ",                   cartographic                ,map,"Williamston, MI",Universal Map,[1999?] 1999,          eng       ,map,map,"1 map : col., laminated ; 27 x 47 cm., on sheet 28 x 76 cm., folded to 28 x 11 cm."
"          Welcome to Maryland, Kent County, and Chestertown, with Queen Annes County and Centreville                  Welcome to Maryland       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 54 x 59 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Maryland, Kent County, and Chestertown, with Queen Annes County and Centreville       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 54 x 59 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
          Albania engineering route study       ,                   cartographic                ,map government publication,"Alexandria, VA",US Army Corps of Engineers,[1999] 1999,          eng       ,map,map,"1 map : col. ; 35 x 18 cm., on sheet 51 x 41 cm."
          New Jersey Coastal Heritage Trail       ,                   cartographic                ,map government publication,"Trenton?] Washington, D.C.?]",State of N.J. The Service,[1998?] 1998,          eng       ,map,map,"1 map : col. ; 36 x 22 cm., folded to 10 x 22 cm."
          Northern Serbia engineering route study       ,                   cartographic                ,map government publication,"Alexandria, VA",US Army Corps of Engineers,[1999] 1999,          eng       ,map,map,"1 map : col. ; 31 x 26 cm., on sheet 50 x 46 cm."
